iter	Logloss
0	0.6842577308
1	0.6763701483
2	0.6696875677
3	0.6638026506
4	0.6578081592
5	0.6527841982
6	0.6485315741
7	0.6444753456
8	0.6407367512
9	0.6379904407
10	0.6354489927
11	0.6329722845
12	0.630328156
13	0.6286010313
14	0.626244463
15	0.6243877888
16	0.622582716
17	0.6208073345
18	0.6193879672
19	0.6181814192
20	0.6170803273
21	0.6162378929
22	0.6149643535
23	0.6136724226
24	0.6122525394
25	0.6113666603
26	0.6105748489
27	0.6093572805
28	0.6085145411
29	0.6074747301
30	0.6064066305
31	0.6053802619
32	0.6047758787
33	0.604096483
34	0.6033119091
35	0.6025355909
36	0.6015229815
37	0.6009684312
38	0.6001390062
39	0.5995414732
40	0.5989986339
41	0.5983894927
42	0.5980250579
43	0.59752248
44	0.5969206512
45	0.5962779239
46	0.5958745535
47	0.5956234759
48	0.5952144397
49	0.5945513636
50	0.594050834
51	0.593647921
52	0.5929588058
53	0.592554985
54	0.5921981003
55	0.5919104093
56	0.5913997541
57	0.5911428213
58	0.5909281382
59	0.5906172122
60	0.5901404547
61	0.5896131896
62	0.5894454822
63	0.5888542438
64	0.5883602286
65	0.5880429702
66	0.5878122235
67	0.5876821463
68	0.5876409667
69	0.5871767702
70	0.5866667332
71	0.5864314227
72	0.5859938475
73	0.5856331578
74	0.5850449898
75	0.584648959
76	0.5844258142
77	0.5838743062
78	0.5833635971
79	0.5830501083
80	0.5827174924
81	0.582574329
82	0.5823331743
83	0.5819345557
84	0.5816709844
85	0.5815552354
86	0.5811264179
87	0.580951387
88	0.5808156092
89	0.5805631565
90	0.5801352926
91	0.5799774096
92	0.5794938617
93	0.5793996494
94	0.5790666804
95	0.5788272124
96	0.5785131124
97	0.5782047566
98	0.57793273
99	0.5775086861
100	0.5772374475
101	0.5769319061
102	0.5766988754
103	0.5765890132
104	0.5765239903
105	0.5763253545
106	0.5759592775
107	0.5757619428
108	0.5755924973
109	0.5752702066
110	0.5751215941
111	0.5748791077
112	0.5746792093
113	0.5746625822
114	0.5745000413
115	0.5744393483
116	0.5743270138
117	0.5740107499
118	0.5738688823
119	0.5737832837
120	0.5735339824
121	0.5732857882
122	0.5731119793
123	0.5729392272
124	0.5727443759
125	0.5725051527
126	0.5724940592
127	0.5722712693
128	0.572048191
129	0.5719143993
130	0.5717813736
131	0.5717027773
132	0.5714099733
133	0.5712803616
134	0.5708684339
135	0.5708466788
136	0.5708466091
137	0.5706119836
138	0.5704791532
139	0.5700532692
140	0.5699006778
141	0.5697535392
142	0.5697425885
143	0.5695723934
144	0.5694827451
145	0.5693105234
146	0.5692952382
147	0.5689347392
148	0.5685813195
149	0.5684452335
150	0.5683745464
151	0.5681667695
152	0.568155529
153	0.5680831636
154	0.567951204
155	0.5677529735
156	0.5674293306
157	0.5671463508
158	0.567003733
159	0.5669123216
160	0.5667128039
161	0.5664258814
162	0.5662542769
163	0.5661653068
164	0.5658060856
165	0.565598914
166	0.5655668
167	0.5655546568
168	0.565269594
169	0.5650958559
170	0.5648322892
171	0.5646390221
172	0.5644666931
173	0.5642621408
174	0.5640652856
175	0.5639366064
176	0.563748121
177	0.5633939986
178	0.5632564144
179	0.5628796035
180	0.5627439397
181	0.5624921447
182	0.5621501645
183	0.5618917829
184	0.5614785828
185	0.5613970314
186	0.5608973606
187	0.5605125565
188	0.5601874121
189	0.5600371239
190	0.5596892417
191	0.5594131097
192	0.5593524316
193	0.5591295009
194	0.5589342016
195	0.5588034582
196	0.5587045464
197	0.5582528306
198	0.5580540037
199	0.5577919035
200	0.5574618795
201	0.5571711778
202	0.5570623307
203	0.5568449251
204	0.5565784795
205	0.5563658845
206	0.5562385281
207	0.5561445982
208	0.555918168
209	0.5557810135
210	0.5556921173
211	0.5554238573
212	0.5550792578
213	0.5546280233
214	0.5543140509
215	0.5541490267
216	0.554043884
217	0.5537956614
218	0.5536462523
219	0.5533436297
220	0.5531325453
221	0.5530717854
222	0.5528766723
223	0.5526144473
224	0.5523899356
225	0.5522809136
226	0.5521494631
227	0.5520638609
228	0.5516294887
229	0.5511408275
230	0.5507903623
231	0.5505047791
232	0.5501344376
233	0.5499225364
234	0.5498336685
235	0.5496744134
236	0.5492607914
237	0.5488441673
238	0.5486168606
239	0.5483477192
240	0.5482771624
241	0.5482002891
242	0.5480420704
243	0.5477769092
244	0.5475161871
245	0.5471017427
246	0.5466360601
247	0.546534178
248	0.5464111814
249	0.5463843424
250	0.546013618
251	0.5458925425
252	0.5455160905
253	0.5453437885
254	0.5452435913
255	0.5448852842
256	0.544531033
257	0.5444078587
258	0.5441387648
259	0.5439059262
260	0.5438147247
261	0.5434097734
262	0.5430573276
263	0.5427190042
264	0.5424665342
265	0.5421936907
266	0.5419835585
267	0.541693348
268	0.5412684313
269	0.5408950737
270	0.5406764134
271	0.5405100294
272	0.5400906732
273	0.5398666148
274	0.5397022714
275	0.5392851643
276	0.5390776154
277	0.5389268148
278	0.5385266641
279	0.5381722394
280	0.5379238149
281	0.5378294024
282	0.5374298997
283	0.537299298
284	0.5370941277
285	0.536948177
286	0.5367845824
287	0.5365773995
288	0.5364857138
289	0.5363056021
290	0.536192819
291	0.5358955979
292	0.5356493149
293	0.5354788768
294	0.5352983528
295	0.5350329267
296	0.5347881056
297	0.5347246264
298	0.5345436779
299	0.5342898176
300	0.5341595621
301	0.5340667059
302	0.5339968114
303	0.5338471767
304	0.5334528398
305	0.5334358067
306	0.5332230574
307	0.5331824374
308	0.5331176257
309	0.532807826
310	0.5326999527
311	0.5325178435
312	0.5322550388
313	0.5320336334
314	0.5319331334
315	0.5316845106
316	0.5315115917
317	0.5312360712
318	0.5310199249
319	0.5307308164
320	0.5306222207
321	0.5304112541
322	0.5302443989
323	0.5300643152
324	0.5298863023
325	0.5296461303
326	0.5295393102
327	0.5293824347
328	0.5293270048
329	0.5289580128
330	0.5287652316
331	0.5285324186
332	0.5281082565
333	0.5279469086
334	0.527759132
335	0.5274715399
336	0.5273313645
337	0.5269852269
338	0.5268393596
339	0.5265563705
340	0.5264373521
341	0.526337697
342	0.526169027
343	0.5259282302
344	0.5258540506
345	0.5257729023
346	0.5255360042
347	0.525358481
348	0.5253249177
349	0.5251974826
350	0.5249082807
351	0.5248815881
352	0.524843698
353	0.524660795
354	0.5243881346
355	0.5241019546
356	0.5239360729
357	0.5235957766
358	0.5232952514
359	0.5230870563
360	0.5230112989
361	0.5227228838
362	0.5224322964
363	0.5221738162
364	0.5220112379
365	0.5217961214
366	0.5215743343
367	0.521263265
368	0.5209197248
369	0.5206585624
370	0.5205991802
371	0.5204794317
372	0.5202471447
373	0.5198936142
374	0.5197834356
375	0.519676422
376	0.5195734564
377	0.5194080821
378	0.519121134
379	0.5189316694
380	0.5187594245
381	0.5184926242
382	0.5184587665
383	0.5183813758
384	0.5181625151
385	0.5178720508
386	0.5174723564
387	0.5170718083
388	0.5168590552
389	0.5165573828
390	0.516269118
391	0.516023484
392	0.5158637068
393	0.5157646489
394	0.5156230883
395	0.5153997479
396	0.5151936168
397	0.5150369576
398	0.5146577935
399	0.5145616106
